all.q:compute-0-21.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37771:49934:0:0:0:0:0:970134:111:0:0:0:0:0:0:13073:286323:NONE:defaultdepartment:orte:120:0:87705:0:0:-pe orte 120:0:1.compute-0-21:0
all.q:compute-0-2.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:38112:49534:0:0:0:0:0:876414:107:0:0:0:0:0:0:13207:282916:NONE:defaultdepartment:orte:120:0:87646:0:0:-pe orte 120:0:1.compute-0-2:0
all.q:compute-0-7.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37920:49778:0:0:0:0:0:908942:115:0:0:0:0:0:0:13121:286361:NONE:defaultdepartment:orte:120:0:87698:0:0:-pe orte 120:0:1.compute-0-7:0
all.q:compute-0-17.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37743:49948:0:0:0:0:0:914513:116:0:0:0:0:0:0:13079:294007:NONE:defaultdepartment:orte:120:0:87691:0:0:-pe orte 120:0:1.compute-0-17:0
all.q:compute-0-4.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37741:49971:0:0:0:0:0:932142:107:0:0:0:0:0:0:13301:399568:NONE:defaultdepartment:orte:120:0:87712:0:0:-pe orte 120:0:1.compute-0-4:0
all.q:compute-0-23.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37933:49789:0:0:0:0:0:834324:125:0:0:0:0:0:0:13179:287401:NONE:defaultdepartment:orte:120:0:87722:0:0:-pe orte 120:0:1.compute-0-23:0
all.q:compute-0-8.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37745:49981:0:0:0:0:0:815661:111:0:0:0:0:0:0:13164:294258:NONE:defaultdepartment:orte:120:0:87726:0:0:-pe orte 120:0:1.compute-0-8:0
all.q:compute-0-16.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:12379:20538:0:0:0:0:0:236929:25:0:0:0:0:0:0:13534:75288:NONE:defaultdepartment:orte:120:0:32917:0:0:-pe orte 120:0:1.compute-0-16:0
all.q:compute-0-13.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37742:49893:0:0:0:0:0:904860:106:0:0:0:0:0:0:13046:290147:NONE:defaultdepartment:orte:120:0:87635:0:0:-pe orte 120:0:1.compute-0-13:0
all.q:compute-0-19.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37649:50037:0:0:0:0:0:921222:106:0:0:0:0:0:0:13120:291599:NONE:defaultdepartment:orte:120:0:87686:0:0:-pe orte 120:0:1.compute-0-19:0
all.q:compute-0-6.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:38185:49512:0:0:0:0:0:858559:121:0:0:0:0:0:0:13204:287009:NONE:defaultdepartment:orte:120:0:87697:0:0:-pe orte 120:0:1.compute-0-6:0
all.q:compute-0-20.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:33100:43630:0:0:0:0:0:745151:95:0:0:0:0:0:0:12823:461710:NONE:defaultdepartment:orte:120:0:76730:0:0:-pe orte 120:0:1.compute-0-20:0
all.q:compute-0-11.local:kank:kank:WhiteKascade_abyss-k21.qsub:122733:sge:0:1260512814:1260512814:1260523805:0:0:10991:37676:50024:0:0:0:0:0:897871:107:0:0:0:0:0:0:13082:289137:NONE:defaultdepartment:orte:120:0:87700:0:0:-pe orte 120:0:1.compute-0-11:0
